File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-1ddb82.o,85.135574%,77928,6786,67360,10144,424,6362
mc_w.l,3.478489%,3184,20,3164,0,20,0
printfa.o,2.512727%,2300,0,2300,0,0,0
mf_w.l,1.754539%,1606,0,1606,0,0,0
lcd_init.o,1.260734%,1154,14,1154,0,0,14
bsp_lcd_spi.o,0.865252%,792,20,792,0,0,20
startup_at32m412_416.o,0.524395%,480,8192,36,444,0,8192
lcd.o,0.439181%,402,0,402,0,0,0
m_wm.l,0.421701%,386,0,386,0,0,0
dadd.o,0.364892%,334,0,334,0,0,0
dmul.o,0.249088%,228,0,228,0,0,0
ddiv.o,0.242533%,222,0,222,0,0,0
util_queue.o,0.220683%,202,0,202,0,0,0
lroundf.o,0.211943%,194,0,194,0,0,0
at32_usart.o,0.211943%,194,36,194,0,0,36
malloc.o,0.205388%,188,0,188,0,0,0
depilogue.o,0.203203%,186,0,186,0,0,0
fmodf.o,0.192278%,176,0,176,0,0,0
fepilogue.o,0.120174%,110,0,110,0,0,0
uldiv.o,0.107064%,98,0,98,0,0,0
ldiv.o,0.107064%,98,0,98,0,0,0
frem.o,0.089584%,82,0,82,0,0,0
ffixir.o,0.083029%,76,0,76,0,0,0
frnd.o,0.065549%,60,0,60,0,0,0
__dczerorl.o,0.063364%,58,0,58,0,0,0
d2f.o,0.061179%,56,0,56,0,0,0
dcmpgt.o,0.058994%,54,0,54,0,0,0
dfixul.o,0.052440%,48,0,48,0,0,0
cdrcmple.o,0.052440%,48,0,48,0,0,0
init.o,0.052440%,48,0,48,0,0,0
uidiv.o,0.048070%,44,0,44,0,0,0
dfltl.o,0.043700%,40,0,40,0,0,0
cpp_init.o,0.043700%,40,0,40,0,0,0
f2d.o,0.041515%,38,0,38,0,0,0
memseta.o,0.039330%,36,0,36,0,0,0
memcpya.o,0.039330%,36,0,36,0,0,0
llsshr.o,0.039330%,36,0,36,0,0,0
llushr.o,0.034960%,32,0,32,0,0,0
strncmp.o,0.032775%,30,0,30,0,0,0
llshl.o,0.032775%,30,0,30,0,0,0
handlers.o,0.032775%,30,0,30,0,0,0
systick_wrapper_gnu.o,0.030590%,28,0,28,0,0,0
dfltul.o,0.026220%,24,0,24,0,0,0
fputs.o,0.026220%,24,0,24,0,0,0
errno.o,0.017480%,16,4,12,0,4,0
funder.o,0.017480%,16,0,16,0,0,0
mvars.o,0.008740%,8,8,0,0,8,0
entry9a.o,0.008740%,8,0,8,0,0,0
entry2.o,0.008740%,8,0,8,0,0,0
stdout.o,0.004370%,4,4,0,0,4,0
stderr.o,0.004370%,4,4,0,0,4,0
entry8a.o,0.004370%,4,0,4,0,0,0
entry5.o,0.004370%,4,0,4,0,0,0
touch.o,0.002185%,2,0,2,0,0,0
